id,claim,question,claim_answer,evidence_answer,answer_note,category,source_ids
1,ESR1 encodes estrogen receptor alpha (ERα).,Does ESR1 encode estrogen receptor alpha?,Yes,,,core_role,2
2,"In ER+ breast cancer, ESR1 is required for estrogen-driven proliferation.",Is ESR1 required for estrogen-driven proliferation in ER+ breast cancer?,Yes,,,direct_function,5
3,"In ER+ breast cancer—particularly in metastatic or endocrine-resistant cases—ESR1 in-frame fusion proteins typically retain the N-terminal DNA-binding domain and exclude the ligand-binding domain, producing receptors that drive estrogen-independent ER transcriptional activity.",Do ESR1 in-frame fusion proteins in endocrine-resistant ER+ breast cancer drive estrogen-independent ER transcriptional activity?,Yes,,,direct_function,3;6;9;13;16;17;19
4,"In ER+ breast cancer, ESR1 amplifications occur.",Do ESR1 amplifications occur in ER+ breast cancer?,Yes,,,impact,1
5,"In ER+ breast cancer, ESR1 in-frame fusions occur.",Do ESR1 in-frame fusions occur in ER+ breast cancer?,Yes,,,impact,4
6,ESR1 fusions have been reported in at least 1% of metastatic tumors.,Have ESR1 fusions been reported in at least 1% of metastatic tumors?,Yes,,,impact,7
7,"In ER+ breast cancer, ESR1 is a focal target of endocrine therapy.",Is ESR1 a focal target of endocrine therapy in ER+ breast cancer?,Yes,,,impact,8
8,ESR1 fusions often occur in endocrine-resistant disease.,Do ESR1 fusions often occur in endocrine-resistant breast cancer?,Yes,,,impact,10
9,"In metastatic ER+ tumors, acquired somatic alterations in ESR1 commonly arise after long-term aromatase inhibitor or tamoxifen treatment.",Do acquired somatic ESR1 alterations commonly arise after long-term aromatase inhibitor or tamoxifen treatment in metastatic ER+ tumors?,Yes,,,impact,11
10,"ESR1 fusion proteins promote proliferation, motility, and metastasis.","Do ESR1 fusion proteins promote proliferation, motility, and metastasis?",Yes,,,impact,12
11,Breast cancer models and tumors with ESR1 fusions have remained sensitive to CDK4/6 inhibition.,Are breast cancer models and tumors with ESR1 fusions sensitive to CDK4/6 inhibitors?,Yes,,,impact,15;20
