id,claim,question,claim_answer,evidence_answer,answer_note
1,"In metastatic melanoma, PD-1 is expressed on T cells.",Is PD-1 expressed on T cells in metastatic melanoma?,Yes,,
2,Exosomal PD‑L1 binds PD‑1 on PD‑1+ CD8 T cells.,Does exosomal PD-L1 bind PD-1 on PD-1+ CD8 T cells?,Yes,,
3,Anti-PD-1 antibodies have shown promise in treating tumors including metastatic melanoma.,Have anti-PD-1 antibodies shown promise in treating tumors including metastatic melanoma?,Yes,,
4,Tumor cell surface PD-L1 interacts with PD-1 on T cells.,Does tumor cell surface PD-L1 interact with PD-1 on T cells?,Yes,,
5,Exosomal PD‑L1 binding to PD‑1 on PD‑1+ CD8 T cells suppresses proliferation of PD‑1+ CD8 T cells.,Does exosomal PD-L1 binding to PD-1 suppress proliferation of PD-1+ CD8 T cells?,Yes,,
6,"In melanoma, tumor-derived exosomal PD-L1 binds PD-1 on PD-1+ CD8 T cells.",Does tumor-derived exosomal PD-L1 bind PD-1 on PD-1+ CD8 T cells in melanoma?,Yes,,
7,Extracellular PD-L1 on released exosomes binds PD-1 on antigen-experienced CD8 T cells.,Does extracellular PD-L1 on released exosomes bind PD-1 on antigen-experienced CD8 T cells?,Yes,,
8,Exosomal PD‑L1 binding to PD‑1 on PD‑1+ CD8 T cells suppresses cytokine production by PD‑1+ CD8 T cells.,Does exosomal PD-L1 binding to PD-1 suppress cytokine production by PD-1+ CD8 T cells?,Yes,,
9,"In melanoma, tumor-derived exosomal PD-L1 inactivates PD-1+ CD8 T cells.",Does tumor-derived exosomal PD-L1 inactivate PD-1+ CD8 T cells in melanoma?,Yes,,
10,Binding of tumor cell surface PD-L1 to PD-1 inactivates T cells.,Does binding of tumor cell surface PD-L1 to PD-1 inactivate T cells?,Yes,,
11,Exosomal PD‑L1 binding to PD‑1 on PD‑1+ CD8 T cells suppresses cytotoxicity of PD‑1+ CD8 T cells.,Does exosomal PD-L1 binding to PD-1 suppress cytotoxicity of PD-1+ CD8 T cells?,Yes,,
12,Exosomal PD-L1 binds PD-1 in a concentration-dependent manner.,Does exosomal PD-L1 bind PD-1 in a concentration-dependent manner?,Yes,,
13,IFN-γ treatment correspondingly increases exosome binding to PD-1.,Does IFN-γ treatment correspondingly increase exosome binding to PD-1?,Yes,,
14,"Suppression of PD‑1+ CD8 T cell proliferation, cytokine production, and cytotoxicity by exosomal PD‑L1 facilitates tumor growth.",Does suppression of PD-1+ CD8 T cell functions by exosomal PD-L1 facilitate tumor growth?,Yes,,
15,Interferon-γ treatment increases exosome binding to PD-1.,Does interferon-γ treatment increase exosome binding to PD-1?,Yes,,
16,Anti-PD-L1 antibodies block the exosomal PD-L1–PD-1 interaction.,Do anti-PD-L1 antibodies block the exosomal PD-L1–PD-1 interaction?,Yes,,
17,"Suppression of PD‑1+ CD8 T cell proliferation, cytokine production, and cytotoxicity by exosomal PD‑L1 facilitates systemic immune suppression.",Does suppression of PD-1+ CD8 T cell functions by exosomal PD-L1 facilitate systemic immune suppression?,Yes,,
18,Anti-PD-1 and anti-PD-L1 antibodies disrupt PD-L1 binding to PD-1.,Do anti-PD-1 and anti-PD-L1 antibodies disrupt PD-L1 binding to PD-1?,Yes,,
19,Anti-PD-1 antibodies block the exosomal PD-L1–PD-1 interaction.,Do anti-PD-1 antibodies block the exosomal PD-L1–PD-1 interaction?,Yes,,
20,Exosomal PD‑L1–mediated inhibition can be disrupted by PD‑1 antibodies.,Can anti–PD-1 antibodies disrupt exosomal PD-L1–mediated inhibition?,Yes,,
21,Anti-PD-1 and anti-PD-L1 antibodies block exosomal PD-L1–mediated T cell inhibition.,Do anti-PD-1 and anti-PD-L1 antibodies block exosomal PD-L1–mediated T cell inhibition?,Yes,,
22,"In patients, circulating exosomal PD-L1 changes during anti-PD-1 therapy.",Does circulating exosomal PD-L1 change during anti-PD-1 therapy in patients?,Yes,,
23,"In patients with metastatic melanoma, circulating exosomal PD-L1 levels change during anti-PD-1 therapy.","In patients with metastatic melanoma, do circulating exosomal PD-L1 levels change during anti-PD-1 therapy?",Yes,,
24,Early on-treatment increases in circulating exosomal PD-L1 stratify clinical responders from non-responders to anti-PD-1 therapy.,Do early on-treatment increases in circulating exosomal PD-L1 stratify responders from non-responders to anti-PD-1 therapy?,Yes,,
25,"In patients with metastatic melanoma, an early on-treatment increase in circulating exosomal PD-L1 stratifies clinical responders from non-responders to anti-PD-1 therapy.","In metastatic melanoma patients, does an early increase in circulating exosomal PD-L1 stratify responders to anti-PD-1 therapy?",Yes,,
26,Early on-treatment increases in circulating exosomal PD-L1 support the use of circulating exosomal PD-L1 as a predictor for anti-PD-1 therapy.,Do early on-treatment increases in circulating exosomal PD-L1 support its use as a predictor for anti-PD-1 therapy?,Yes,,
