id,claim,citation,question,claim_answer
1,PAX3-FOXO1 is a chimeric transcription factor.,"(Barr, 1998)",Is PAX3-FOXO1 a chimeric transcription factor?,Yes
2,PAX3-FOXO1 is generated by the t(2;13)(q35;q14) chromosomal translocation.,"(Barr, 1998)",Is PAX3-FOXO1 generated by the t(2;13)(q35;q14) chromosomal translocation?,Yes
3,The t(2;13)(q35;q14) chromosomal translocation fuses the paired box and homeodomain DNA-binding domains of PAX3 to the transactivation domain of FOXO1.,"(Barr, 1998)",Does the t(2;13)(q35;q14) translocation fuse PAX3's paired box and homeodomain to FOXO1's transactivation domain?,Yes
4,PAX3-FOXO1 is the defining molecular hallmark of fusion-positive alveolar rhabdomyosarcoma (ARMS).,"(Barr, 1998)",Is PAX3-FOXO1 the defining molecular hallmark of fusion-positive alveolar rhabdomyosarcoma?,Yes
5,PAX3-FOXO1 functions as an aberrantly potent transcriptional activator compared to wild-type PAX3.,"(Cao et al., 2010)",Does PAX3-FOXO1 act as a more potent transcriptional activator than wild-type PAX3?,Yes
6,"PAX3-FOXO1 drives expression of downstream target genes including MYCN, MET, and CXCR4.","(Cao et al., 2010)","Does PAX3-FOXO1 drive expression of downstream targets MYCN, MET, and CXCR4?",Yes
7,"MYCN, MET, and CXCR4 promote cell survival, proliferation, and metastasis.","(Cao et al., 2010)","Do MYCN, MET, and CXCR4 promote cell survival, proliferation, and metastasis?",Yes
8,PAX3-FOXO1 expression is associated with a more aggressive clinical phenotype relative to fusion-negative rhabdomyosarcoma.,"(Sorensen et al., 2002)",Is PAX3-FOXO1 expression associated with a more aggressive clinical phenotype than fusion-negative rhabdomyosarcoma?,Yes
9,PAX3-FOXO1 expression is associated with poorer prognosis relative to fusion-negative rhabdomyosarcoma even after accounting for stage and histology.,"(Sorensen et al., 2002)",Is PAX3-FOXO1 expression associated with poorer prognosis than fusion-negative rhabdomyosarcoma after accounting for stage and histology?,Yes
10,PAX3-FOXO1 inhibits myogenic differentiation.,"(Kikuchi et al., 2014)",Does PAX3-FOXO1 inhibit myogenic differentiation?,Yes
11,"PAX3-FOXO1 maintains tumor cells in a proliferative, undifferentiated state.","(Kikuchi et al., 2014)","Does PAX3-FOXO1 maintain tumor cells in a proliferative, undifferentiated state?",Yes
12,PAX3-FOXO1 epigenetically reprograms the chromatin landscape by establishing super-enhancers at loci critical for tumor maintenance.,"(Gryder et al., 2017)",Does PAX3-FOXO1 epigenetically reprogram chromatin by establishing super-enhancers at loci critical for tumor maintenance?,Yes
13,Therapeutic efforts to target PAX3-FOXO1 remain challenging due to PAX3-FOXO1's nature as a transcription factor.,,Are therapeutic efforts to target PAX3-FOXO1 challenging because it is a transcription factor?,Yes
14,Approaches targeting PAX3-FOXO1's downstream effectors and epigenetic dependencies are under active investigation.,,Are approaches targeting PAX3-FOXO1's downstream effectors and epigenetic dependencies under active investigation?,Yes
