id,claim,citation,question,claim_answer,paper_answer,answer_note
1,FOXA1 functions as a transcriptional regulator in prostate cancer.,[1];[2];[3],Does FOXA1 function as a transcriptional regulator in prostate cancer?,Yes,Yes,
2,FOXA1 functions as a pioneer factor in luminal prostate epithelium and in prostate cancer.,[4],Does FOXA1 function as a pioneer factor in luminal prostate epithelium and prostate cancer?,Yes,Yes,
3,FOXA1 mutations alter FOXA1 pioneering activity.,[4],Do FOXA1 mutations alter FOXA1's pioneering activity?,Yes,Yes,
4,FOXA1 mutations perturb luminal epithelial differentiation.,[4],Do FOXA1 mutations perturb luminal epithelial differentiation?,Yes,Yes,
5,FOXA1 mutation-driven perturbation of luminal epithelial differentiation prompts prostate cancer progression.,[4],Does FOXA1 mutation-driven perturbation of luminal epithelial differentiation prompt prostate cancer progression?,Yes,Yes,
6,In prostate cancer FOXA1 orchestrates splicing dysregulation by binding regulatory regions.,[1],Does FOXA1 orchestrate splicing dysregulation in prostate cancer by binding regulatory regions?,Yes,Yes,
7,In prostate cancer FOXA1 orchestrates splicing dysregulation by controlling splicing-factor expression.,[1],Does FOXA1 orchestrate splicing dysregulation in prostate cancer by controlling splicing-factor expression?,Yes,Yes,
8,FOXA1 exploits exon-definition to bias dominant over NMD-targeted isoforms.,[1],Does FOXA1 exploit exon-definition to bias dominant over NMD-targeted isoforms?,Yes,Yes,
9,FOXA1-controlled SRSF1 promotes FLNA exon 30 inclusion.,[1],Does FOXA1-controlled SRSF1 promote FLNA exon 30 inclusion?,Yes,Yes,
10,FLNA exon 30 inclusion promotes in vitro growth.,[1],Does FLNA exon 30 inclusion promote in vitro growth?,Yes,Yes,
11,FLNA exon 30 inclusion predicts recurrence.,[1],Does FLNA exon 30 inclusion predict recurrence?,Yes,Yes,
12,FOXA1 targets the androgen receptor in prostate cancer.,[2],Does FOXA1 target the androgen receptor in prostate cancer?,Yes,Yes,
13,Missense mutations in FOXA1's winged-helix likely disrupt cofactor interactions rather than DNA contact.,[2],Do missense mutations in FOXA1's winged-helix likely disrupt cofactor interactions rather than DNA contact?,Yes,Yes,
14,Missense mutations in FOXA1's winged-helix define a subtype with elevated AR-induced transcription.,[2],Do missense mutations in FOXA1's winged-helix define a subtype with elevated AR-induced transcription?,Yes,Yes,
15,FOXA1 is recurrently mutated in prostate cancer.,[3],Is FOXA1 recurrently mutated in prostate cancer?,Yes,Yes,
16,Germline SNPs modulate FOXA1 binding by altering binding at cis-regulatory elements.,[3],Do germline SNPs modulate FOXA1 binding by altering cis-regulatory element binding?,Yes,Yes,
17,Somatic SNVs modulate FOXA1 binding by altering binding at cis-regulatory elements.,[3],Do somatic SNVs modulate FOXA1 binding by altering cis-regulatory element binding?,Yes,Yes,
18,Germline SNPs modulate transcriptional regulation by altering binding at cis-regulatory elements.,[3],Do germline SNPs modulate transcriptional regulation by altering cis-regulatory element binding?,Yes,Yes,
19,Somatic SNVs modulate transcriptional regulation by altering binding at cis-regulatory elements.,[3],Do somatic SNVs modulate transcriptional regulation by altering cis-regulatory element binding?,Yes,Yes,
20,FOXA1 3' UTR indels appear in mCRPC plasma DNA.,[3],Do FOXA1 3' UTR indels appear in mCRPC plasma DNA?,Yes,Yes,
21,FOXA1 3' UTR indels enable liquid-biopsy detection and longitudinal monitoring.,[3],Do FOXA1 3' UTR indels enable liquid-biopsy detection and longitudinal monitoring?,Yes,Yes,
22,Whole-exome sequencing of seven human prostate cancer organoid lines identified disease-specific FOXA1 mutations.,[5],Did whole-exome sequencing of seven prostate cancer organoid lines identify disease-specific FOXA1 mutations?,Yes,Yes,
23,FOXA1 mutations are listed among genetic lesions that underlie prostate tumorigenesis.,[5],Are FOXA1 mutations listed among genetic lesions underlying prostate tumorigenesis?,Yes,Yes,
24,FOXA1-mutant tumors are not represented in the limited available prostate cancer cell lines.,[5],Are FOXA1-mutant tumors not represented in the limited available prostate cancer cell lines?,Yes,Yes,
