in_text_citation,reference,url,real_reference,real_url,alternative_url,hash_id
[0],"- [0] K. Pawełczyk, A. Piotrowska, U. Ciesielska, K. Jabłońska, Natalia Gletzel-Plucinska, J. Grzegrzółka et al.. Role of PD-L1 Expression in Non-Small Cell Lung Cancer and Their Prognostic Significance according to Clinicopathological Factors and Diagnostic Markers. n.d.. Citations: 173. https://www.semanticscholar.org/paper/f92e41efa6ed91b993d4b3dd4b6afade566e7044",https://www.semanticscholar.org/paper/f92e41efa6ed91b993d4b3dd4b6afade566e7044,true,true,,2-ELY8Ne8TDgmYZu
[1],"- [1] V. Velcheti, K. Schalper, Daniel Carvajal, D. Rimm, V. Anagnostou, K. Syrigos et al.. Programmed death ligand-1 expression in non-small cell lung cancer. n.d.. Citations: 755. https://www.semanticscholar.org/paper/4755975a2a88418f9603531623e83335f3890c2e",https://www.semanticscholar.org/paper/4755975a2a88418f9603531623e83335f3890c2e,true,true,,rlvbEeTsCMprYJ98
[2],"- [2] S. Vecchiarelli, F. Passiglia, A. D’Incecco, M. Gallo, A. De Luca, E. Rossi et al.. Circulating programmed death ligand-1 (cPD-L1) in non-small-cell lung cancer (NSCLC). n.d.. Citations: 25. https://www.semanticscholar.org/paper/b3774d202f335da4a3b8d10a0af2b3ca1cf48884",https://www.semanticscholar.org/paper/b3774d202f335da4a3b8d10a0af2b3ca1cf48884,true,true,,vdLWn9aiYS28an1f
[4],"- [4] Y. Shimada, J. Matsubayashi, Y. Kudo, S. Maehara, S. Takeuchi, M. Hagiwara et al.. Serum-derived exosomal PD-L1 expression to predict anti-PD-1 response and in patients with non-small cell lung cancer. n.d.. Citations: 94. https://www.semanticscholar.org/paper/0a9425b637c4ab221853b68f481761017032ddfa",https://www.semanticscholar.org/paper/0a9425b637c4ab221853b68f481761017032ddfa,true,true,,JQHD68-4Gs4ZvRHO
[5],"- [5] Yuting Wang, X. Niu, Yirui Cheng, Yanshuang Zhang, L. Xia, W. Xia et al.. Exosomal PD-L1 predicts response with immunotherapy in NSCLC patients.. n.d.. Citations: 35. https://www.semanticscholar.org/paper/5952c879b279f68aeb35c21f422ffd8a54e8223c",https://www.semanticscholar.org/paper/5952c879b279f68aeb35c21f422ffd8a54e8223c,true,true,,jT78a8kXCCiqvXtj
[3],"- [3] Hui Jing, Meng Meng, Mengjie Ye, Shuan Liu, Xubo Cao, Ke Li et al.. Integrin α2 promotes immune escape in non-small-cell lung cancer by enhancing PD-L1 expression in exosomes to inhibit CD8 + T-cell activity. n.d.. Citations: 14. https://www.semanticscholar.org/paper/82b4202fc15770c4428a65e6874ae4fa1bfecad2",https://www.semanticscholar.org/paper/82b4202fc15770c4428a65e6874ae4fa1bfecad2,true,true,,feVxNRPaU-seJfnE
[6],"- [6] Jinghua Pan, Yiting Qiao, Congcong Chen, H. Zang, Xiaojing Zhang, Fengxia Qi et al.. USP5 facilitates non-small cell lung cancer progression through stabilization of PD-L1. n.d.. Citations: 68. https://www.semanticscholar.org/paper/5541aaa4fd3283f412797f323e2d1e0fea20251b",https://www.semanticscholar.org/paper/5541aaa4fd3283f412797f323e2d1e0fea20251b,true,true,,ZExwFCRuu8laDVAf
[7],"- [7] A. Di Federico, S. Alden, J. Smithy, B. Ricciuti, J. Alessi, X. Wang et al.. Intrapatient variation in PD-L1 expression and tumor mutational burden and the impact on outcomes to immune checkpoint inhibitor therapy in patients with non-small cell lung cancer.. n.d.. Citations: 48. https://www.semanticscholar.org/paper/25d80f573fdff4855502fe89547813f775253c66",https://www.semanticscholar.org/paper/25d80f573fdff4855502fe89547813f775253c66,true,true,,SnnJRdlTK-43Oc51
[8],"- [8] Jinghan Li, Daiwang Shi, Siyi Li, Xiang Shi, Yu Liu, Yi Zhang et al.. KEAP1 promotes anti-tumor immunity by inhibiting PD-L1 expression in NSCLC. n.d.. Citations: 29. https://www.semanticscholar.org/paper/784faab9228ac6bec6dafd3e610f08fb070d1e1e",https://www.semanticscholar.org/paper/784faab9228ac6bec6dafd3e610f08fb070d1e1e,true,true,,e-85NLhn4_oJDVLh
[9],"- [9] Duan-Rui Qiao, Jun-Ya Cheng, Wei-Qun Yan, Hai-Jun Li. PD-L1/PD-1 blockage enhanced the cytotoxicity of natural killer cell on the non-small cell lung cancer (NSCLC) by granzyme B secretion. n.d.. Citations: 11. https://www.semanticscholar.org/paper/1135385df7373c309c6aab7f3a66048225bf05a6",https://www.semanticscholar.org/paper/1135385df7373c309c6aab7f3a66048225bf05a6,true,true,,IGJrz9-MRj2IOehH
